column_name,table_name,total_rows
kaisai_nen,jrd_sed,3696
kaisai_nen,jvd_ck,483981
kaisai_nen,jvd_dm,34548
kaisai_nen,jvd_h1,34516
kaisai_nen,jvd_h6,34516
kaisai_nen,jvd_hr,34548
kaisai_nen,jvd_jg,808218
kaisai_nen,jvd_ra,59851
kaisai_nen,jvd_se,739040
kaisai_nen,jvd_wf,581
kaisai_tsukihi,jrd_bac,110
kaisai_tsukihi,jrd_sed,3696
kaisai_tsukihi,jvd_ck,483981
kaisai_tsukihi,jvd_dm,34548
kaisai_tsukihi,jvd_h1,34516
kaisai_tsukihi,jvd_h6,34516
kaisai_tsukihi,jvd_hr,34548
kaisai_tsukihi,jvd_jg,808218
kaisai_tsukihi,jvd_ra,59851
kaisai_tsukihi,jvd_se,739040
kaisai_tsukihi,jvd_wf,581
keibajo_code,jrd_bac,110
keibajo_code,jrd_cyb,3081
keibajo_code,jrd_joa,4828
keibajo_code,jrd_kyi,4828
keibajo_code,jrd_sed,3696
keibajo_code,jvd_ck,483981
keibajo_code,jvd_dm,34548
keibajo_code,jvd_h1,34516
keibajo_code,jvd_h6,34516
keibajo_code,jvd_hr,34548
keibajo_code,jvd_jg,808218
keibajo_code,jvd_ra,59851
keibajo_code,jvd_se,739040
kaisai_kai,jrd_bac,110
kaisai_kai,jrd_cyb,3081
kaisai_kai,jrd_joa,4828
kaisai_kai,jrd_kyi,4828
kaisai_kai,jrd_sed,3696
kaisai_kai,jvd_ck,483981
kaisai_kai,jvd_dm,34548
kaisai_kai,jvd_h1,34516
kaisai_kai,jvd_h6,34516
kaisai_kai,jvd_hr,34548
kaisai_kai,jvd_jg,808218
kaisai_kai,jvd_ra,59851
kaisai_kai,jvd_se,739040
kaisai_nichime,jrd_bac,110
kaisai_nichime,jrd_cyb,3081
kaisai_nichime,jrd_joa,4828
kaisai_nichime,jrd_kyi,4828
kaisai_nichime,jrd_sed,3696
kaisai_nichime,jvd_ck,483981
kaisai_nichime,jvd_dm,34548
kaisai_nichime,jvd_h1,34516
kaisai_nichime,jvd_h6,34516
kaisai_nichime,jvd_hr,34548
kaisai_nichime,jvd_jg,808218
kaisai_nichime,jvd_ra,59851
kaisai_nichime,jvd_se,739040
race_bango,jrd_bac,110
race_bango,jrd_cyb,3081
race_bango,jrd_joa,4828
race_bango,jrd_kyi,4828
race_bango,jrd_sed,3696
race_bango,jvd_ck,483981
race_bango,jvd_dm,34548
race_bango,jvd_h1,34516
race_bango,jvd_h6,34516
race_bango,jvd_hr,34548
race_bango,jvd_jg,808218
race_bango,jvd_ra,59851
race_bango,jvd_se,739040
umaban,jrd_cyb,3081
umaban,jrd_joa,4828
umaban,jrd_kyi,4828
umaban,jrd_sed,3696
umaban,jvd_se,739040
ketto_toroku_bango_jravan,NOT_FOUND,0
wakuban,jrd_kyi,4828
wakuban,jvd_se,739040
seibetsu_code,jrd_kyi,4828
seibetsu_code,jvd_se,739040
seibetsu_code,jvd_sk,427045
seibetsu_code,jvd_um,211788
month,NOT_FOUND,0
kyori,jrd_bac,110
kyori,jrd_sed,3696
kyori,jvd_ra,59851
track_code,jrd_bac,110
track_code,jrd_sed,3696
track_code,jvd_ra,59851
tenko_code,jrd_sed,3696
tenko_code,jvd_ra,59851
babajotai_code_shiba,jvd_ra,59851
babajotai_code_dirt,jvd_ra,59851
hasso_jikoku,jrd_bac,110
hasso_jikoku,jrd_sed,3696
hasso_jikoku,jvd_ra,59851
grade_code,jrd_bac,110
grade_code,jrd_sed,3696
grade_code,jvd_ra,59851
keibajo_season_code,NOT_FOUND,0
shusso_tosu,jvd_h1,34516
shusso_tosu,jvd_h6,34516
shusso_tosu,jvd_hr,34548
shusso_tosu,jvd_ra,59851
barei,jvd_se,739040
kishumei_ryakusho,jvd_se,739040
bataiju_jravan,NOT_FOUND,0
zogen_sa,jvd_se,739040
blinker_shiyo_kubun,jrd_kyi,4828
blinker_shiyo_kubun,jvd_se,739040
race_date_int,NOT_FOUND,0
target_top3,NOT_FOUND,0
prev1_rank,NOT_FOUND,0
prev1_time,NOT_FOUND,0
prev1_last_3f,NOT_FOUND,0
past5_rank_avg,NOT_FOUND,0
past5_rank_best,NOT_FOUND,0
past5_time_avg,NOT_FOUND,0
race_shikonen,jrd_bac,110
race_shikonen,jrd_cyb,3081
race_shikonen,jrd_joa,4828
race_shikonen,jrd_kyi,4828
race_shikonen,jrd_sed,3696
ketto_toroku_bango_jrdb,NOT_FOUND,0
idm,jrd_kyi,4828
idm,jrd_sed,3696
kishu_shisu,jrd_kyi,4828
joho_shisu,jrd_kyi,4828
sogo_shisu,jrd_kyi,4828
chokyo_shisu,jrd_kyi,4828
kyusha_shisu,jrd_kyi,4828
gekiso_shisu,jrd_kyi,4828
ninki_shisu,jrd_kyi,4828
ten_shisu,jrd_kyi,4828
ten_shisu,jrd_sed,3696
pace_shisu,jrd_kyi,4828
pace_shisu,jrd_sed,3696
agari_shisu,jrd_kyi,4828
agari_shisu,jrd_sed,3696
ichi_shisu,jrd_kyi,4828
manken_shisu,jrd_kyi,4828
chokyo_yajirushi_code,jrd_kyi,4828
kyusha_hyoka_code,jrd_kyi,4828
kishu_kitai_rentai_ritsu,jrd_kyi,4828
shiage_shisu,jrd_cyb,3081
chokyo_hyoka,jrd_cyb,3081
kyakushitsu_code,jrd_kyi,4828
kyakushitsu_code,jrd_sed,3696
kyori_tekisei_code,jrd_kyi,4828
joshodo_code,jrd_kyi,4828
joshodo_code,jrd_sed,3696
tekisei_code_omo,jrd_kyi,4828
hizume_code,jrd_kyi,4828
class_code,jrd_kyi,4828
class_code,jrd_sed,3696
pace_yoso,jrd_kyi,4828
uma_deokure_ritsu,jrd_kyi,4828
rotation,jrd_kyi,4828
hobokusaki_rank,jrd_kyi,4828
kyusha_rank,jrd_kyi,4828
bataiju_jrdb,NOT_FOUND,0
bataiju_zogen,jrd_kyi,4828
bataiju_zogen,jrd_sed,3696
uma_start_shisu,jrd_kyi,4828
cid,jrd_joa,4828
ls_shisu,jrd_joa,4828
ls_hyoka,jrd_joa,4828
em,jrd_joa,4828
kyusha_bb_shirushi,jrd_joa,4828
kishu_bb_shirushi,jrd_joa,4828
